{'DAT': '52541020', 'x': '-0.1771799475', 'y': '3.3209269047', 'z': '-9.5940551758'}
{'DAT': '52541021', 'x': '-0.1771799475', 'y': '3.3496589661', 'z': '-9.6299695969'}
{'DAT': '52541022', 'x': '-0.1867572516', 'y': '3.3640248775', 'z': '-9.6730680466'}
{'DAT': '52541023', 'x': '-0.1963345408', 'y': '3.3448703289', 'z': '-9.6395473480'}
{'DAT': '52541024', 'x': '-0.1843629181', 'y': '3.3712077141', 'z': '-9.6179981232'}
{'DAT': '52541025', 'x': '-0.1843629181', 'y': '3.3592362404', 'z': '-9.6347589493'}
{'DAT': '52541026', 'x': '-0.2130948156', 'y': '3.3640248775', 'z': '-9.6443357468'}
{'DAT': '52541027', 'x': '-0.1939402223', 'y': '3.4023339748', 'z': '-9.6491241455'}
{'DAT': '52541028', 'x': '-0.1676026583', 'y': '3.4214885235', 'z': '-9.6802511215'}
{'DAT': '52541029', 'x': '-0.1580253690', 'y': '3.3927567005', 'z': '-9.6826448441'}
{'DAT': '52541030', 'x': '-0.1771799475', 'y': '3.3640248775', 'z': '-9.6587018967'}
{'DAT': '52541031', 'x': '-0.2274607569', 'y': '3.3855736256', 'z': '-9.6587018967'}
{'DAT': '52541032', 'x': '-0.2274607569', 'y': '3.4023339748', 'z': '-9.6539134979'}
{'DAT': '52541033', 'x': '-0.1771799475', 'y': '3.3831794262', 'z': '-9.6491241455'}
{'DAT': '52541034', 'x': '-0.1867572516', 'y': '3.3616304398', 'z': '-9.6419420242'}
{'DAT': '52541035', 'x': '-0.2178834528', 'y': '3.3783907890', 'z': '-9.6371526718'}
{'DAT': '52541036', 'x': '-0.1915459037', 'y': '3.3592362404', 'z': '-9.6347589493'}
{'DAT': '52541037', 'x': '-0.1723913103', 'y': '3.3185327053', 'z': '-9.6156044006'}
{'DAT': '52541038', 'x': '-0.1771799475', 'y': '3.3305041790', 'z': '-9.6251811981'}
{'DAT': '52541039', 'x': '-0.1795742810', 'y': '3.3376872540', 'z': '-9.6587018967'}
{'DAT': '52541040', 'x': '-0.1915459037', 'y': '3.3664190769', 'z': '-9.6323642731'}
{'DAT': '52541041', 'x': '-0.1963345408', 'y': '3.3783907890', 'z': '-9.5916604996'}
{'DAT': '52541042', 'x': '-0.1819685996', 'y': '3.3712077141', 'z': '-9.6156044006'}
{'DAT': '52541043', 'x': '-0.1915459037', 'y': '3.3783907890', 'z': '-9.6610965729'}
{'DAT': '52541044', 'x': '-0.2130948156', 'y': '3.3903622627', 'z': '-9.6826448441'}
{'DAT': '52541045', 'x': '-0.2250664234', 'y': '3.4071226120', 'z': '-9.6850395203'}
{'DAT': '52541046', 'x': '-0.2107004821', 'y': '3.3664190769', 'z': '-9.6179981232'}
{'DAT': '52541047', 'x': '-0.1819685996', 'y': '3.3352928162', 'z': '-9.5701122284'}
{'DAT': '52541048', 'x': '-0.1699969769', 'y': '3.3664190769', 'z': '-9.6012382507'}
{'DAT': '52541049', 'x': '-0.1723913103', 'y': '3.3568418026', 'z': '-9.6299695969'}
{'DAT': '52541050', 'x': '-0.1723913103', 'y': '3.3640248775', 'z': '-9.6084213257'}
{'DAT': '52541051', 'x': '-0.1819685996', 'y': '3.4047284126', 'z': '-9.5533514023'}
{'DAT': '52541052', 'x': '-0.2011231929', 'y': '3.3736021519', 'z': '-9.5916604996'}
{'DAT': '52541053', 'x': '-0.2059118450', 'y': '3.3400814533', 'z': '-9.6347589493'}
{'DAT': '52541054', 'x': '-0.1963345408', 'y': '3.3568418026', 'z': '-9.6587018967'}
{'DAT': '52541055', 'x': '-0.1604196876', 'y': '3.3975453377', 'z': '-9.6730680466'}
{'DAT': '52541056', 'x': '-0.1436594278', 'y': '3.3999397755', 'z': '-9.6419420242'}
{'DAT': '52541057', 'x': '-0.1604196876', 'y': '3.3712077141', 'z': '-9.6371526718'}
{'DAT': '52541058', 'x': '-0.1963345408', 'y': '3.3736021519', 'z': '-9.6443357468'}
{'DAT': '52541059', 'x': '-0.2011231929', 'y': '3.3736021519', 'z': '-9.6634902954'}
{'DAT': '52541060', 'x': '-0.1819685996', 'y': '3.3759963512', 'z': '-9.6802511215'}
{'DAT': '52541061', 'x': '-0.2011231929', 'y': '3.3688135147', 'z': '-9.6658849716'}
{'DAT': '52541062', 'x': '-0.1867572516', 'y': '3.3568418026', 'z': '-9.6395473480'}
{'DAT': '52541063', 'x': '-0.1819685996', 'y': '3.3783907890', 'z': '-9.6227865219'}
{'DAT': '52541064', 'x': '-0.1987288743', 'y': '3.3759963512', 'z': '-9.6012382507'}
{'DAT': '52541065', 'x': '-0.1819685996', 'y': '3.3903622627', 'z': '-9.6275758743'}
{'DAT': '52541066', 'x': '-0.1843629181', 'y': '3.4095170498', 'z': '-9.6395473480'}
{'DAT': '52541067', 'x': '-0.2178834528', 'y': '3.3736021519', 'z': '-9.6419420242'}
{'DAT': '52541068', 'x': '-0.2322493941', 'y': '3.3496589661', 'z': '-9.6443357468'}
{'DAT': '52541069', 'x': '-0.2107004821', 'y': '3.3520531654', 'z': '-9.6012382507'}
{'DAT': '52541070', 'x': '-0.1891515702', 'y': '3.3592362404', 'z': '-9.6179981232'}
{'DAT': '52541071', 'x': '-0.2035175115', 'y': '3.3496589661', 'z': '-9.6754617691'}
{'DAT': '52541072', 'x': '-0.2107004821', 'y': '3.3448703289', 'z': '-9.6778564453'}
{'DAT': '52541073', 'x': '-0.1795742810', 'y': '3.3592362404', 'z': '-9.6251811981'}
{'DAT': '52541074', 'x': '-0.1987288743', 'y': '3.3568418026', 'z': '-9.5964498520'}
{'DAT': '52541075', 'x': '-0.2035175115', 'y': '3.3568418026', 'z': '-9.6251811981'}
{'DAT': '52541076', 'x': '-0.1891515702', 'y': '3.3736021519', 'z': '-9.6491241455'}
{'DAT': '52541077', 'x': '-0.2059118450', 'y': '3.3855736256', 'z': '-9.6036319733'}
{'DAT': '52541078', 'x': '-0.2011231929', 'y': '3.3879680634', 'z': '-9.6323642731'}
{'DAT': '52541079', 'x': '-0.2059118450', 'y': '3.4047284126', 'z': '-9.6395473480'}
{'DAT': '52541080', 'x': '-0.1819685996', 'y': '3.4023339748', 'z': '-9.6299695969'}
{'DAT': '52541081', 'x': '-0.1819685996', 'y': '3.3903622627', 'z': '-9.6634902954'}
{'DAT': '52541082', 'x': '-0.1819685996', 'y': '3.3544476032', 'z': '-9.6275758743'}
{'DAT': '52541083', 'x': '-0.1795742810', 'y': '3.3472645283', 'z': '-9.6251811981'}
{'DAT': '52541084', 'x': '-0.2011231929', 'y': '3.3879680634', 'z': '-9.6395473480'}
{'DAT': '52541085', 'x': '-0.1987288743', 'y': '3.3783907890', 'z': '-9.6156044006'}
{'DAT': '52541086', 'x': '-0.2059118450', 'y': '3.3759963512', 'z': '-9.6060266495'}
{'DAT': '52541087', 'x': '-0.2035175115', 'y': '3.3736021519', 'z': '-9.6251811981'}
{'DAT': '52541088', 'x': '-0.1891515702', 'y': '3.3616304398', 'z': '-9.6275758743'}
{'DAT': '52541089', 'x': '-0.1939402223', 'y': '3.3831794262', 'z': '-9.6012382507'}
{'DAT': '52541090', 'x': '-0.1795742810', 'y': '3.3831794262', 'z': '-9.6084213257'}
{'DAT': '52541091', 'x': '-0.1843629181', 'y': '3.3352928162', 'z': '-9.6060266495'}
{'DAT': '52541092', 'x': '-0.2035175115', 'y': '3.3352928162', 'z': '-9.5964498520'}
{'DAT': '52541093', 'x': '-0.2035175115', 'y': '3.3831794262', 'z': '-9.6491241455'}
{'DAT': '52541094', 'x': '-0.1963345408', 'y': '3.4023339748', 'z': '-9.6898279190'}
{'DAT': '52541095', 'x': '-0.1867572516', 'y': '3.4047284126', 'z': '-9.6299695969'}
{'DAT': '52541096', 'x': '-0.1963345408', 'y': '3.4143056870', 'z': '-9.6203927994'}
{'DAT': '52541097', 'x': '-0.1795742810', 'y': '3.4166998863', 'z': '-9.6539134979'}
{'DAT': '52541098', 'x': '-0.1580253690', 'y': '3.3807849884', 'z': '-9.6539134979'}
{'DAT': '52541099', 'x': '-0.1676026583', 'y': '3.3472645283', 'z': '-9.6251811981'}
{'DAT': '52541100', 'x': '-0.1843629181', 'y': '3.3664190769', 'z': '-9.5916604996'}
{'DAT': '52541101', 'x': '-0.1747856289', 'y': '3.3759963512', 'z': '-9.6179981232'}
{'DAT': '52541102', 'x': '-0.1795742810', 'y': '3.3544476032', 'z': '-9.6515188217'}
{'DAT': '52541103', 'x': '-0.1891515702', 'y': '3.3496589661', 'z': '-9.6227865219'}
{'DAT': '52541104', 'x': '-0.1915459037', 'y': '3.3688135147', 'z': '-9.5964498520'}
{'DAT': '52541105', 'x': '-0.1652083397', 'y': '3.3855736256', 'z': '-9.6275758743'}
{'DAT': '52541106', 'x': '-0.1604196876', 'y': '3.3927567005', 'z': '-9.6156044006'}
